Titre,Annee_de_sortie,Duree,Genre,Realisateur,Note,Nombre_de_votants,Acteurs,Affiche,Recettes
Back to the Future Part III,1990,118,"['Adventure', 'Comedy', 'Sci-Fi']",Robert Zemeckis,7.4,471290.0,Michael J. Fox,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,244527583.0
Back to the Future Part III,1990,118,"['Adventure', 'Comedy', 'Sci-Fi']",Robert Zemeckis,7.4,471290.0,Christopher Lloyd,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,244527583.0
Back to the Future Part III,1990,118,"['Adventure', 'Comedy', 'Sci-Fi']",Robert Zemeckis,7.4,471290.0,Mary Steenburgen,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,244527583.0
Back to the Future Part III,1990,118,"['Adventure', 'Comedy', 'Sci-Fi']",Robert Zemeckis,7.4,471290.0,Tom Wilson,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,244527583.0
Cyrano de Bergerac,1990,137,"['Comedy', 'Drama', 'History']",Jean-Paul Rappeneau,7.5,25511.0,Gérard Depardieu,/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,5822041.0
Cyrano de Bergerac,1990,137,"['Comedy', 'Drama', 'History']",Jean-Paul Rappeneau,7.5,25511.0,Anne Brochet,/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,5822041.0
Cyrano de Bergerac,1990,137,"['Comedy', 'Drama', 'History']",Jean-Paul Rappeneau,7.5,25511.0,Vincent Perez,/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,5822041.0
Cyrano de Bergerac,1990,137,"['Comedy', 'Drama', 'History']",Jean-Paul Rappeneau,7.5,25511.0,Jacques Weber,/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,5822041.0
Die Hard 2,1990,124,"['Action', 'Thriller']",Renny Harlin,7.1,375465.0,Bruce Willis,/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,240031094.0
Die Hard 2,1990,124,"['Action', 'Thriller']",Renny Harlin,7.1,375465.0,William Atherton,/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,240031094.0
Die Hard 2,1990,124,"['Action', 'Thriller']",Renny Harlin,7.1,375465.0,Bonnie Bedelia,/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,240031094.0
Die Hard 2,1990,124,"['Action', 'Thriller']",Renny Harlin,7.1,375465.0,Reginald VelJohnson,/lDFO7D4MdbhjOwaPwe18QG69Rt0.jpg,240031094.0
The Field,1990,107,"['Drama', 'Thriller']",Jim Sheridan,7.3,6595.0,Richard Harris,/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg,1494399.0
The Field,1990,107,"['Drama', 'Thriller']",Jim Sheridan,7.3,6595.0,John Hurt,/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg,1494399.0
The Field,1990,107,"['Drama', 'Thriller']",Jim Sheridan,7.3,6595.0,Sean Bean,/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg,1494399.0
The Field,1990,107,"['Drama', 'Thriller']",Jim Sheridan,7.3,6595.0,Frances Tomelty,/ppF5pUheNoL0EPuGRIEnHz1ewp7.jpg,1494399.0
